et-5/0/4:0,1171511
et-5/0/4:1,1171383
et-5/0/4:2,1171835
et-5/0/4:3,1186134
et-5/0/5:0,1171326
et-5/0/5:1,1169039
et-5/0/5:2,1168844
et-5/0/5:3,1177570
et-5/0/6:0,1171983
et-5/0/6:1,1183290
et-5/0/6:2,1173538
et-5/0/6:3,1196193
et-5/0/7:0,1177804
et-5/0/7:1,1171199
et-5/0/7:2,1170014
et-5/0/7:3,1176407
et-5/0/12:0,1969152320
et-5/0/12:1,1948838090
et-5/0/12:2,1939250848
et-5/0/13:0,1948645117
et-5/0/13:1,1939478072
et-5/0/13:3,1918480630
et-4/0/4:0,1172629
et-4/0/4:1,1755425
et-4/0/4:2,1174019
et-4/0/4:3,1171609
et-4/0/5:0,1192625
et-4/0/5:1,1171672
et-4/0/5:2,1183169
et-4/0/5:3,1190699
et-4/0/6:0,1173111
et-4/0/6:1,1198315
et-4/0/6:2,1167092
et-4/0/6:3,1173423
et-4/0/7:0,1186711
et-4/0/7:1,1170765
et-4/0/7:2,1173710
et-4/0/7:3,1176020
et-4/0/12:0,1948791087
et-4/0/12:1,1948907769
et-4/0/13:1,1949030729
et-4/0/13:2,1939166534
et-4/0/13:3,1939177938
et-0/0/0:1,3812956198
et-0/0/1:0,354719865
et-0/0/1:1,355747235
et-0/0/1:2,355180480
et-0/0/1:3,353771726
et-0/0/2:0,356585224
et-0/0/2:1,356085952
et-0/0/2:2,355667054
et-0/0/2:3,357319012
et-0/0/3:0,354633980
et-0/0/3:1,354872440
et-0/0/3:2,355240794
et-0/0/3:3,355002454
et-0/0/4:0,355765542
et-0/0/4:1,355373591
et-0/0/4:2,356426854
et-0/0/4:3,355912153
et-0/0/9:0,15389636038
et-0/0/9:1,903751
et-0/0/9:3,917807
et-1/0/0:1,3814806782
et-1/0/1:0,355039195
et-1/0/1:1,355194237
et-1/0/1:2,355292546
et-1/0/1:3,360502875
et-1/0/2:0,354614773
et-1/0/2:1,355077696
et-1/0/2:2,355573113
et-1/0/2:3,355233348
et-1/0/3:0,355490605
et-1/0/3:1,354769914
et-1/0/3:2,354496447
et-1/0/3:3,356435716
et-1/0/4:0,354707517
et-1/0/4:1,353940069
et-1/0/4:2,356285193
et-1/0/4:3,356766031
et-1/0/9:3,154445277
et-1/0/12:2,1918391918
et-1/0/12:3,1918371365
et-1/0/13:1,1918235770
et-1/0/13:2,1918475489
et-1/0/13:3,1918534675
et-1/0/23:0,423058
et-3/0/12:0,1918411636
et-3/0/12:1,1918642684
et-3/0/13:0,1948571148
et-3/0/13:1,1981092302
em0,947097
em1,57493
ixlv0,29783749
ixlv1,615160
lo0,5717962
em0,947097
em1,57493
ixlv0,29783749
ixlv1,615160
lo0,5717999
et-4/0/4:0,1172629
et-4/0/4:1,1755448
et-4/0/4:2,1174019
et-4/0/4:3,1171609
et-4/0/5:0,1192625
et-4/0/5:1,1171672
et-4/0/5:2,1183169
et-4/0/5:3,1190699
et-4/0/6:0,1173111
et-4/0/6:1,1198315
et-4/0/6:2,1167092
et-4/0/6:3,1173423
et-4/0/7:0,1186711
et-4/0/7:1,1170765
et-4/0/7:2,1173710
et-4/0/7:3,1176020
et-4/0/12:0,1948999377
et-4/0/12:1,1949115539
et-4/0/13:1,1949238504
et-4/0/13:2,1939375331
et-4/0/13:3,1939385113
et-5/0/4:0,1171511
et-5/0/4:1,1171383
et-5/0/4:2,1171835
et-5/0/4:3,1186134
et-5/0/5:0,1171326
et-5/0/5:1,1169039
et-5/0/5:2,1168844
et-5/0/5:3,1177570
et-5/0/6:0,1171983
et-5/0/6:1,1183290
et-3/0/12:0,1918615085
et-3/0/12:1,1918845572
et-3/0/13:0,1948782731
et-3/0/13:1,1981304032
et-5/0/6:2,1173538
et-5/0/6:3,1196193
et-5/0/7:0,1177804
et-5/0/7:1,1171199
et-5/0/7:2,1170014
et-5/0/7:3,1176407
et-5/0/12:0,1969365006
et-5/0/12:1,1949046593
et-5/0/12:2,1939459391
et-5/0/13:0,1948853926
et-5/0/13:1,1939686611
et-5/0/13:3,1918680389
et-1/0/0:1,3815120226
