et-5/0/4:0,1171511
et-5/0/4:1,1171383
et-5/0/4:2,1171835
et-5/0/4:3,1186134
et-5/0/5:0,1171326
et-5/0/5:1,1169039
et-5/0/5:2,1168844
et-5/0/5:3,1177570
et-5/0/6:0,1171983
et-5/0/6:1,1183290
et-5/0/6:2,1173538
et-5/0/6:3,1196193
et-5/0/7:0,1177804
et-5/0/7:1,1171199
et-5/0/7:2,1170014
et-5/0/7:3,1176407
et-5/0/12:0,1969107450
et-5/0/12:1,1948843971
et-5/0/12:2,1939256684
et-5/0/13:0,1948651046
et-5/0/13:1,1939484038
et-5/0/13:3,1918486212
et-4/0/4:0,1172620
et-4/0/4:1,1419830
et-4/0/4:2,1174019
et-4/0/4:3,1171609
et-4/0/5:0,1192625
et-4/0/5:1,1171672
et-4/0/5:2,1183169
et-4/0/5:3,1190697
et-4/0/6:0,1173111
et-4/0/6:1,1198315
et-4/0/6:2,1167092
et-4/0/6:3,1173423
et-4/0/7:0,1186711
et-4/0/7:1,1170765
et-4/0/7:2,1173710
et-4/0/7:3,1176020
et-4/0/12:0,1948795724
et-4/0/12:1,1948912569
et-4/0/13:1,1949035442
et-4/0/13:2,1939171314
et-4/0/13:3,1939182711
et-0/0/0:1,3812971236
et-0/0/1:0,354721266
et-0/0/1:1,355748764
et-0/0/1:2,355181899
et-0/0/1:3,353773119
et-0/0/2:0,356586629
et-0/0/2:1,356087332
et-0/0/2:2,355668520
et-0/0/2:3,357320433
et-0/0/3:0,354635474
et-0/0/3:1,354873865
et-0/0/3:2,355242217
et-0/0/3:3,355003825
et-0/0/4:0,355766978
et-0/0/4:1,355375000
et-0/0/4:2,356428284
et-0/0/4:3,355913615
et-0/0/9:0,15389697178
et-0/0/9:1,903338
et-0/0/9:3,4431
et-1/0/0:1,3814560395
et-1/0/1:0,355040965
et-1/0/1:1,355195919
et-1/0/1:2,355294272
et-1/0/1:3,360162861
et-1/0/2:0,354616466
et-1/0/2:1,355079347
et-1/0/2:2,355574794
et-1/0/2:3,355235016
et-1/0/3:0,355492322
et-1/0/3:1,354771617
et-1/0/3:2,354498086
et-1/0/3:3,356437395
et-1/0/4:0,354709258
et-1/0/4:1,353941701
et-1/0/4:2,356286835
et-1/0/4:3,356767742
et-1/0/9:3,153534595
et-1/0/12:2,1918404383
et-1/0/12:3,1918383980
et-1/0/13:1,1918248027
et-1/0/13:2,1918487943
et-1/0/13:3,1918547113
et-1/0/23:0,86337
et-3/0/12:0,1918419602
et-3/0/12:1,1918650668
et-3/0/13:0,1948579401
et-3/0/13:1,1981023447
et-4/0/4:0,1172620
et-4/0/4:1,1419840
et-4/0/4:2,1174019
et-4/0/4:3,1171609
et-4/0/5:0,1192625
et-4/0/5:1,1171672
et-4/0/5:2,1183169
et-4/0/5:3,1190697
et-4/0/6:0,1173111
et-4/0/6:1,1198315
et-4/0/6:2,1167092
et-4/0/6:3,1173423
et-4/0/7:0,1186711
et-4/0/7:1,1170765
et-4/0/7:2,1173710
et-4/0/7:3,1176020
et-4/0/12:0,1949001196
et-4/0/12:1,1949117321
et-4/0/13:1,1949240357
et-4/0/13:2,1939377157
et-4/0/13:3,1939387031
et-5/0/4:0,1171511
et-5/0/4:1,1171383
et-5/0/4:2,1171835
et-5/0/4:3,1186134
et-5/0/5:0,1171326
et-5/0/5:1,1169039
et-5/0/5:2,1168844
et-5/0/5:3,1177570
et-5/0/6:0,1171983
et-5/0/6:1,1183290
et-3/0/12:0,1918617053
et-3/0/12:1,1918847458
et-3/0/13:0,1948784686
et-3/0/13:1,1981228811
et-5/0/6:2,1173538
et-5/0/6:3,1196193
et-5/0/7:0,1177804
et-5/0/7:1,1171199
et-5/0/7:2,1170014
et-5/0/7:3,1176407
et-5/0/12:0,1969323893
et-5/0/12:1,1949056201
et-5/0/12:2,1939469128
et-5/0/13:0,1948863489
et-5/0/13:1,1939696118
et-5/0/13:3,1918689427
et-1/0/0:1,3814849233
et-1/0/1:0,355067897
et-1/0/1:1,355223198
et-1/0/1:2,355321614
et-1/0/1:3,360189938
et-1/0/2:0,354643498
